Actividad_primaria,Fecha,Estado
12983.94,2023,Aguascalientes
23595.05,2023,Baja California
7341.275,2023,Baja California Sur
6121.068,2023,Campeche
18623.403,2023,Coahuila de Zaragoza
8231.778,2023,Colima
24530.694,2023,Chiapas
58593.008,2023,Chihuahua
1261.321,2023,Ciudad de México
25830.7,2023,Durango
42296.772,2023,Guanajuato
16188.869,2023,Guerrero
11632.98,2023,Hidalgo
106231.324,2023,Jalisco
25721.314,2023,México
96905.507,2023,Michoacán de Ocampo
8691.988,2023,Morelos
10704.271,2023,Nayarit
9289.034,2023,Nuevo León
18095.419,2023,Oaxaca
30745.0979999999,2023,Puebla
13338.615,2023,Querétaro
3293.983,2023,Quintana Roo
23865.488,2023,San Luis Potosí
48686.965,2023,Sinaloa
52053.111,2023,Sonora
10003.079,2023,Tabasco
17293.037,2023,Tamaulipas
4237.396,2023,Tlaxcala
63388.963,2023,Veracruz de Ignacio de la Llave
11994.497,2023,Yucatán
16271.969,2023,Zacatecas
