Actividad_terciaria,Fecha,Estado
155458.987,2023,Aguascalientes
450982.278,2023,Baja California
134884.758,2023,Baja California Sur
94099.112,2023,Campeche
358764.246,2023,Coahuila de Zaragoza
107532.821,2023,Colima
266983.42,2023,Chiapas
423826.672,2023,Chihuahua
3228764.084,2023,Ciudad de México
157669.832,2023,Durango
590922.742,2023,Guanajuato
235251.385,2023,Guerrero
240436.333,2023,Hidalgo
1090669.762,2023,Jalisco
1519396.599,2023,México
433816.841,2023,Michoacán de Ocampo
169791.969,2023,Morelos
113382.918,2023,Nayarit
1068263.028,2023,Nuevo León
257894.515,2023,Oaxaca
484229.529,2023,Puebla
309277.295,2023,Querétaro
288989.301,2023,Quintana Roo
251315.225,2023,San Luis Potosí
351481.452,2023,Sinaloa
349262.006,2023,Sonora
214352.485,2023,Tabasco
396815.542,2023,Tamaulipas
84370.038,2023,Tlaxcala
654370.029,2023,Veracruz de Ignacio de la Llave
262434.655,2023,Yucatán
113130.128,2023,Zacatecas
